,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
660,"#2308 -7 BISHOP AVE, Toronto, Ontario, M2M 4J4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,,1.0,"Public Transit, Schools",,"Underground, Visitor parking",,1.0,35.65,Balcony,$519 Monthly,,"$399,900"
661,"#1106 -1 VALHALLA INN RD, Toronto, Ontario, M9B 1S9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,,,"Underground, Visitor parking",,1.0,,Balcony,$510 Monthly,,"$399,888"
662,"#132 -525 WILSON AVE, Toronto, Ontario, M3H 1V1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,"Underground, Visitor parking",,1.0,28.01,,$289 Monthly,,"$369,000"
663,"#102 -340 DIXON RD, Toronto, Ontario, M9R 1T1",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,1.0,"Park, Public Transit, Schools",,,,1.0,,Balcony,$600 Monthly,,"$340,000"
664,"77 HARBOUR SQ, Toronto, Ontario, M5J 2S2",Apartment,Apartment,,,,Condominium/Strata,Single Family,,,,,Underground,,,,,$97 Monthly,Pets not Allowed,"$19,900"
665,"#502 -128 HAZELTON AVE, Toronto, Ontario, M5R 2E5",Apartment,Apartment,,,,Condominium/Strata,Single Family,3+1,4.0,,,Underground,,6.0,180.32,Balcony,$0 Monthly,,"$7,350,000"
666,"#1302 -552 WELLINGTON ST W, Toronto, Ontario, M5V 2V4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,3.0,"Park, Public Transit",,Underground,,1.0,223.88,Balcony,"$1,780 Monthly",,"$3,500,000"
667,"1202-155 St Clair WEST, Toronto, ON, M4V 0A1",Apartment,,,"Brick, Concrete",,,,2,2.0,,,", Underground",2.0,1.0,108.97,Balcony,"$2,242 Monthly",,"$2,650,000"
668,"#905 -1166 BAY ST, Toronto, Ontario, M5S 2X8",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,3,2.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,,,"$2,143 Monthly",,"$2,595,000"
669,"#908 -1 EDGEWATER DR, Toronto, Ontario, M5A 0L1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,3.0,"Park, Public Transit",,Underground,,1.0,132.41,"Conservation/green belt, Balcony","$1,671 Monthly",,"$1,895,000"
670,"#PH801 -1801 BAYVIEW AVE, Toronto, Ontario, M4G 4K2",Apartment,Apartment,,"Concrete, Stucco",,Condominium/Strata,Single Family,3+1,3.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,2.0,177.41000000000003,,"$2,329 Monthly",Community Centre,"$1,825,000"
671,"#14 -850 RICHMOND ST W, Toronto, Ontario, M6J 1C9",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,3,3.0,,,Underground,,3.0,,,$858 Monthly,,"$1,749,000"
672,"#2001 -1 PALACE PIER CRT, Toronto, Ontario, M8V 3W9",Apartment,Apartment,,,,Condominium/Strata,Single Family,2,3.0,"Marina, Park",,Underground,,1.0,119.20000000000002,Conservation/green belt,"$1,934 Monthly",,"$1,699,000"
673,"306-188 Cumberland St, Toronto, ON, M5R 2G3",Apartment,,,,,,,1,1.0,,,Owned,1.0,1.0,75.28,,$520 Monthly,,"$1,495,000"
674,"#113 -45 YORK MILLS RD, Toronto, Ontario, M2P 1B6",Townhouse,Row / Townhouse,Finished,"Concrete, Stucco",,Condominium/Strata,Single Family,3,3.0,"Public Transit, Schools",,"Underground, Visitor parking",,3.0,,"Ravine, Conservation/green belt",$785 Monthly,,"$1,260,000"
675,"3117-98 Lillian St, Toronto, ON, M4S 0A5",Apartment,,,,,,,2+1,2.0,,,Owned,1.0,1.0,84.08999999999997,,$822 Monthly,,"$1,189,000"
676,"#102 -40 OLD MILL RD, Toronto, Ontario, M8X 1G7",Apartment,Apartment,,"Brick, Stone",,Condominium/Strata,Single Family,1+1,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Ravine,"$1,581 Monthly",,"$1,089,000"
677,"65 EAST LIBERTY Street Unit# 2202, Toronto, Ontario, M6K 3R2",Apartment,Apartment,,Stone,,Condominium,Single Family,2,2.0,"Park, Public Transit",,Underground,,1.0,,"Park setting, Southern exposure, Park/reserve, Balcony, Automatic Garage Door Opener",$773 Monthly,,"$1,085,888"
678,"#606 -75 PORTLAND ST, Toronto, Ontario, M5V 2M9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,108.82,Balcony,$629 Monthly,,"$1,079,000"
679,"#901 -38 STEWART ST, Toronto, Ontario, M5V 1H6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit",,Underground,,1.0,,Balcony,$820 Monthly,,"$1,059,900"
680,"112-500 Richmond St W, Toronto, ON, M5V 1Y2",Apartment,,,,,,,2,2.0,,,Owned,1.0,2.0,,,$609 Monthly,,"$998,000"
681,"#1703 -56 ANNIE CRAIG DR, Toronto, Ontario, M8V 0C5",Apartment,Apartment,,,,Condominium/Strata,Single Family,2+1,2.0,Park,,Underground,,1.0,74.94,Balcony,$648 Monthly,,"$994,000"
682,"#2610 -230 QUEENS QUAY W QUAY, Toronto, Ontario, M5J 2Y7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Marina, Park, Public Transit",,"Underground, Visitor parking",,1.0,107.77,Balcony,$737 Monthly,,"$989,900"
683,"#1404 -12 YORK ST, Toronto, Ontario, M5J 2Z2",Apartment,Apartment,,,,Condominium/Strata,Single Family,3+1,2.0,"Hospital, Marina, Park, Public Transit",,"Underground, Visitor parking",,1.0,701.66,Balcony,$915 Monthly,,"$988,888"
684,"#PH121 -460 ADELAIDE ST E, Toronto, Ontario, M5A 0E7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,84.00999999999998,,$649 Monthly,,"$988,000"
685,"#1203 -21 PIRANDELLO ST, Toronto, Ontario, M6K 3P4",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,2,3.0,Public Transit,,Underground,,2.0,55.49,,$544 Monthly,,"$949,000"
686,"#803 -36 HOWARD PARK AVE, Toronto, Ontario, M6R 1V5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,"Underground, Visitor parking",,1.0,94.82,Balcony,$650 Monthly,,"$929,000"
687,"77 CRIMSON MILLWAY WAY, Toronto, Ontario, M2L 1T8",Townhouse,Row / Townhouse,Finished,Brick,,Condominium/Strata,Single Family,3,3.0,"Hospital, Park, Public Transit, Schools",,"Attached garage, Visitor parking",,2.0,83.56,"Wooded area, Balcony",$833 Monthly,,"$920,000"
688,"#1 -100 COXWELL AVE, Toronto, Ontario, M4L 3B2",Townhouse,Row / Townhouse,,"Brick, Concrete",,Condominium/Strata,Single Family,2,3.0,"Park, Public Transit, Schools",,Underground,,2.0,55.67,,$310 Monthly,Community Centre,"$899,900"
